m_disk,sb_law,scale_factor,r_in,d_r,inc,pa,mar_starflux,aug_starflux,jun_starflux,lnprob
-7.545336590512266461e+00,2.311513128702412434e+00,3.894313957840554730e-02,2.230403711698924951e+01,1.899099539015801597e+01,9.020037121085287879e+01,1.285501404941758778e+02,4.261804271267819301e-04,1.217024861409985180e-04,2.232304561482235656e-04,-3.095919550781250000e+05
-7.543410826785351020e+00,2.388524601059225372e+00,3.287618781750011043e-02,2.128156792239207462e+01,2.025957429830305756e+01,9.128823667671215958e+01,1.285951922787961337e+02,3.848216666419561360e-04,1.197673060797564503e-04,2.668656305141916662e-04,-3.095921367187500000e+05
-7.543928378850706551e+00,2.195287883179955823e+00,3.876131872521494659e-02,2.320414732614391440e+01,1.842605116631286322e+01,9.056576324428613134e+01,1.286025456955266861e+02,4.124241715231905013e-04,9.761057347872141533e-05,2.586946604342547158e-04,-3.095955683593750000e+05
-7.542554735228307550e+00,2.338821786376793721e+00,3.516595873732461519e-02,2.213536013207512809e+01,1.956067135461686490e+01,9.144031619716054138e+01,1.285376487285853955e+02,4.105279478330897333e-04,1.511125596038238774e-04,2.747821597568689202e-04,-3.095922480468750000e+05
-7.537490779211166725e+00,2.475403460245434228e+00,3.683377258926245901e-02,2.122360745470433585e+01,2.011614352385350202e+01,9.111351284205464651e+01,1.285594357991747927e+02,3.995611868469819972e-04,1.259357578382949185e-04,2.391905984818587625e-04,-3.095905019531250000e+05
-7.552623002015983467e+00,2.863222549061148037e+00,3.527829106312744406e-02,5.932442688388641194e+00,3.478794261450529035e+01,9.125599280025134874e+01,1.284586671764615460e+02,3.121585106191126818e-04,1.175133194342946601e-04,2.187978336302914915e-04,-3.096070039062500000e+05
-7.540320834323679833e+00,2.614951371421566417e+00,4.412518053415139668e-02,2.084780672929095502e+01,2.039080069273223828e+01,9.075825806362020387e+01,1.285392811338645345e+02,3.849283771716095759e-04,1.214992030481882451e-04,2.637670486937151678e-04,-3.096006621093750000e+05
-7.550264069360444807e+00,2.913450986040840185e+00,3.834080993857928027e-02,1.421129687487259829e+01,2.652556639823549745e+01,8.865585872287435620e+01,1.285735240382038853e+02,3.375192844139654610e-04,1.746689507071858840e-04,2.714153135853863931e-04,-3.096090898437500000e+05
-7.550725070047569432e+00,2.746976821905829258e+00,2.987777424583297134e-02,3.242109150533146078e+00,3.768941099279946627e+01,9.187689219993767153e+01,1.284166495095169580e+02,3.438782633534110083e-04,6.193440962480620900e-05,2.108360351221180218e-04,-3.096032304687500000e+05
-7.550504187249869048e+00,2.738061734918030510e+00,3.565292558855447796e-02,2.180100852010335544e+01,1.866304129430630354e+01,9.103330195153436932e+01,1.286096894985606696e+02,3.800700359708967645e-04,1.030554419332857107e-04,2.332313651158782902e-04,-3.095975058593750000e+05
-7.556016752703505368e+00,2.529688788332967064e+00,3.538159383197363866e-02,2.127025772623942856e+01,1.984221549864095380e+01,9.065701389245747066e+01,1.286005334005801330e+02,3.750412048424086632e-04,1.298588981774478381e-04,2.548351928358655164e-04,-3.095988671875000000e+05
-7.551508677203687014e+00,3.006472630566533244e+00,2.827101669131120917e-02,8.470918073276486382e+00,3.213139266328077781e+01,9.171156051210500948e+01,1.284423020366753008e+02,3.554950786163732827e-04,1.071422838020902253e-04,2.421017728506864885e-04,-3.095960390625000000e+05
-7.542419104627332338e+00,2.959504762550899226e+00,3.364750871021003620e-02,4.756756627186846664e+00,3.621975904490221154e+01,9.163899599086222736e+01,1.284202787346825687e+02,3.506420287626497274e-04,6.865389842733516713e-05,1.942651129383511871e-04,-3.096027558593750000e+05
-7.543443586820987257e+00,2.683334224246729516e+00,3.636904011749869658e-02,2.095611313892177208e+01,2.040014450142091462e+01,9.130482074576035245e+01,1.285555964281838612e+02,3.981301047299990446e-04,1.017683150452137721e-04,2.625817212090322860e-04,-3.095975644531250000e+05
-7.562560810877926087e+00,5.048885495633776088e+00,-1.343376598688132695e-01,4.740486476106209324e+00,1.858662341771703197e+01,9.128234604592509527e+01,1.284798499423473288e+02,5.348389461575223840e-04,1.697116130461416442e-04,4.601016434458913814e-04,-inf
-7.531580837454398214e+00,2.805310544604044942e+00,3.762226361260270074e-02,1.818743076433223393e+01,2.319120001727721103e+01,9.118715805553900111e+01,1.285119287253810398e+02,3.564074560932471453e-04,1.547980387254030833e-04,2.469987229112987031e-04,-3.096006191406250000e+05
-7.515680938978744230e+00,4.903543071020913580e+00,-4.763976149492837181e-02,1.090287405268455956e+01,2.608923811121478664e+01,8.943220880557895214e+01,1.285752610360190715e+02,4.211328008479691635e-04,2.468556685359337322e-04,1.995874010932490394e-04,-inf
-7.548840384915633805e+00,2.522135501383839795e+00,2.755217307603682192e-02,7.109892606259982983e+00,3.443131851618526440e+01,9.171952185594257401e+01,1.284623919381655810e+02,3.218979014293480204e-04,1.218058537713681550e-04,2.443904250882412282e-04,-3.096014765625000000e+05
-7.553804497258102657e+00,2.939439261336092901e+00,3.031812129655713992e-02,1.296222378020621235e+01,2.754126064933159057e+01,9.195056428191210784e+01,1.284928910284350252e+02,3.660601859408047745e-04,9.883490502744911061e-05,2.439675301479789736e-04,-3.096012343750000000e+05
-7.528873802473163401e+00,2.910376185309231811e+00,3.606784680628601081e-02,8.414217844403484747e+00,3.281727964765234873e+01,9.166279690003139535e+01,1.284936176618973320e+02,3.376383132302713868e-04,1.206578923027742787e-04,2.176068909902245153e-04,-3.096019003906250000e+05
-7.549918232520279382e+00,2.787905388438555399e+00,3.231064402970991456e-02,2.023800598844986354e+01,2.069233874581988175e+01,9.152903055927217224e+01,1.285537448128515621e+02,4.038531451041183070e-04,1.275388729187798868e-04,2.343135334046962171e-04,-3.095934394531250000e+05
-7.543104729892612603e+00,2.737073120117638148e+00,3.587436858745741974e-02,1.130778218949355463e+01,3.015299750161321768e+01,9.165592661530043017e+01,1.284743167099221637e+02,3.586152624694350830e-04,1.261079039754956996e-04,2.099101436676464654e-04,-3.096032031250000000e+05
-7.540324305171443697e+00,2.746676748636814214e+00,3.841456816345937414e-02,2.123280364619256488e+01,1.993401957261431789e+01,9.127869215879192666e+01,1.285486166884425927e+02,4.097641925027701421e-04,1.011944623457624448e-04,2.844131717812853387e-04,-3.095993417968750000e+05
-7.538222497318752602e+00,2.074457165053716690e+00,3.104280493865513996e-02,2.218013541422656232e+01,1.956039775793770374e+01,9.150065006095496756e+01,1.285689756378071991e+02,4.235447703002416520e-04,1.528240961748338566e-04,2.609802676659544627e-04,-3.095854824218750000e+05
-7.546833736634215306e+00,2.457607084420344812e+00,3.744894629276630804e-02,2.175800892790069341e+01,1.955415097243612621e+01,9.114446823890295946e+01,1.286001384728588732e+02,3.900828026854949318e-04,1.282598901378371168e-04,2.545629386691807472e-04,-3.095933125000000000e+05
-7.540849810038544376e+00,3.095929497201670877e+00,3.395402478666229712e-02,4.405756235263751819e+00,3.675553996369476550e+01,9.139075683368153591e+01,1.284250990926674945e+02,3.505864003041902479e-04,6.950811187638185579e-05,2.548471290102287097e-04,-3.096040605468750000e+05
-7.545750795034658509e+00,2.307447004352085607e+00,3.950554316398767474e-02,2.232915228756544579e+01,1.890617345059212440e+01,9.001574952193621471e+01,1.285520004564212400e+02,4.285110040433754612e-04,1.173234713509644321e-04,2.155546619058509199e-04,-3.095928886718750000e+05
-7.543410826785351020e+00,2.388524601059225372e+00,3.287618781750011043e-02,2.128156792239207462e+01,2.025957429830305756e+01,9.128823667671215958e+01,1.285951922787961337e+02,3.848216666419561360e-04,1.197673060797564503e-04,2.668656305141916662e-04,-3.095921367187500000e+05
-7.543928378850706551e+00,2.195287883179955823e+00,3.876131872521494659e-02,2.320414732614391440e+01,1.842605116631286322e+01,9.056576324428613134e+01,1.286025456955266861e+02,4.124241715231905013e-04,9.761057347872141533e-05,2.586946604342547158e-04,-3.095955683593750000e+05
-7.542554735228307550e+00,2.338821786376793721e+00,3.516595873732461519e-02,2.213536013207512809e+01,1.956067135461686490e+01,9.144031619716054138e+01,1.285376487285853955e+02,4.105279478330897333e-04,1.511125596038238774e-04,2.747821597568689202e-04,-3.095922480468750000e+05
